Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date,
QA-Cooler3-5April,Dev Site,Single,11,3.65,0008-80152,10/16/2019 7:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.62,0008-80152,10/16/2019 7:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.33,0008-80152,10/16/2019 6:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.88,0008-80152,10/16/2019 6:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.58,0008-80152,10/16/2019 5:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 5:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 4:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.3,0008-80152,10/16/2019 4:21:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.35,0008-80152,10/16/2019 3:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.24,0008-80152,10/16/2019 3:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.35,0008-80152,10/16/2019 2:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 2:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.64,0008-80152,10/16/2019 1:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.85,0008-80152,10/16/2019 1:21:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.14,0008-80152,10/16/2019 12:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.46,0008-80152,10/16/2019 12:21:02 AM,
